,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,Cuddalore,11.75,79.75,78.21,82,64,9.73,IN,1702258248
352,Salinópolis,-0.6136,-47.3561,80.65,79,54,11.81,BR,1702258248
353,Lázaro Cárdenas,17.9583,-102.2,79.61,70,100,0.83,MX,1702257961
354,Prien am Chiemsee,47.8667,12.3333,42.39,88,100,5.19,DE,1702258249
355,Egilsstadir,65.2653,-14.3948,21.11,93,100,2.3,IS,1702258249
356,São José da Coroa Grande,-8.8978,-35.1478,77.81,79,2,7.23,BR,1702258250
357,Tura,25.5198,90.2201,62.47,61,0,1.99,IN,1702258250
358,Cidreira,-30.1811,-50.2056,68.07,92,100,17.52,BR,1702258250
359,Kerikeri,-35.2268,173.9474,69.17,59,100,4.9,NZ,1702258250
360,Bel Ombre,-4.6167,55.4167,80.44,89,40,3.44,SC,1702258250
361,Zuwārah,32.9312,12.082,60.15,61,0,14.32,LY,1702258250
362,Zouérat,22.7187,-12.4521,64.24,21,0,11.34,MR,1702258251
363,Ciudad Acuña,29.3232,-100.9522,53.89,26,0,3.44,MX,1702257960
364,Taoudenni,22.6783,-3.9836,63.39,29,100,16.22,ML,1702258251
365,El Porvenir,13.7617,-87.3458,79.93,69,78,6.51,HN,1702258251
366,Balaklava,44.5,33.6,42.39,77,100,0.67,UA,1702258251
367,Beloyarskiy,63.7119,66.6722,-31.0,100,45,3.0,RU,1702258252
368,Kupang,-10.1667,123.5833,86.58,79,40,5.75,ID,1702258252
369,Åkrehamn,59.2667,5.1833,41.0,48,100,13.8,NO,1702258252
370,Venado Tuerto,-33.7456,-61.9688,68.02,40,0,8.3,AR,1702258252
371,Gavrilov Posad,56.5597,40.1175,13.44,94,100,12.24,RU,1702258253
372,Arraial do Cabo,-22.9661,-42.0278,73.4,80,100,10.94,BR,1702258253
373,San Antonio de Palé,-1.4014,5.6325,81.25,79,97,13.38,GQ,1702258254
374,Cockburn Town,21.4612,-71.1419,78.76,69,40,14.97,TC,1702258254
375,Greenville,35.6127,-77.3663,64.56,98,100,10.36,US,1702258001
376,Usinsk,65.9939,57.5281,-19.93,100,100,1.01,RU,1702258254
377,Kavaratti,10.5669,72.642,83.48,72,100,6.98,IN,1702258228
378,Preobrazheniye,42.9019,133.9064,16.34,38,100,4.68,RU,1702258255
379,Garissa,-0.4536,39.6401,77.99,79,25,7.09,KE,1702258255
380,Dryden,49.7833,-92.7503,21.49,86,100,5.75,CA,1702258255
381,Majenang,-7.2975,108.7642,83.17,73,91,4.85,ID,1702258255
382,Maués,-3.3836,-57.7186,77.5,91,96,2.53,BR,1702258256
383,Harper,4.375,-7.7169,79.43,83,13,4.88,LR,1702258256
384,Zhanjiang,21.2815,110.3427,79.93,67,0,9.19,CN,1702258256
385,Bardai,11.65,7.2333,61.12,29,0,10.65,NG,1702258256
386,Åmål,59.051,12.7049,33.21,98,100,17.83,SE,1702258257
387,Udangudi,8.4333,78.0167,77.18,91,100,10.65,IN,1702258258
388,Chifeng,42.2683,118.9636,10.29,64,100,5.64,CN,1702258258
389,Waddān,29.1614,16.139,54.95,77,30,14.88,LY,1702258258
390,São João da Barra,-21.6403,-41.0511,73.54,80,78,5.75,BR,1702258258
391,Kharkhorin,47.1975,102.8238,-10.43,98,68,0.65,MN,1702258259
392,Constitución,-35.3333,-72.4167,54.23,92,87,5.03,CL,1702258256
393,Xique Xique,-10.8217,-42.7311,80.31,52,44,16.04,BR,1702258259
394,Kalmunai,7.4167,81.8167,78.58,85,93,4.38,LK,1702258260
395,City of San Pedro,14.35,121.0167,87.31,72,20,8.01,PH,1702258260
396,Arkhangelsk,64.5401,40.5433,3.31,77,75,13.42,RU,1702258129
397,Vadsø,70.0744,29.7487,12.36,92,100,23.02,NO,1702257994
398,Acaraú,-2.8856,-40.12,80.19,76,100,15.59,BR,1702258107
399,Launceston,-41.45,147.1667,79.16,29,95,4.61,AU,1702258261
400,Komsomol'skiy,43.9783,46.6985,37.02,79,99,7.05,RU,1702258262
401,Port Moresby,-9.4431,147.1797,90.82,55,40,11.5,PG,1702258262
402,Empalme,27.9667,-110.8167,77.05,41,0,5.75,MX,1702258262
403,Palikir,6.9248,158.1611,88.65,70,100,11.5,FM,1702258103
404,Sungai Penuh,-2.0833,101.3833,73.29,83,64,2.17,ID,1702258263
405,Paracuru,-3.41,-39.0306,82.11,74,62,11.81,BR,1702258263
406,Nelson Bay,-32.7167,152.15,86.09,67,14,8.99,AU,1702258266
407,Codrington,-38.2667,141.9667,64.42,76,100,15.7,AU,1702258267
408,Khorixas,-20.3667,14.9667,64.29,44,6,1.66,NA,1702258267
409,Njombe,-9.3333,34.7667,60.03,97,100,4.85,TZ,1702258268
410,Greymouth,-42.4667,171.2,58.51,60,6,11.99,NZ,1702258268
411,Wajir,1.7471,40.0573,77.63,78,8,10.16,KE,1702258268
412,Bekalta,35.6174,10.9947,57.22,73,0,14.34,TN,1702258268
413,Chaman,30.9236,66.4512,44.96,33,0,3.85,PK,1702258268
414,San Matías,-16.3667,-58.4,75.88,86,93,2.59,BO,1702258269
415,Yaren,-0.5472,166.916,83.77,71,54,1.97,NR,1702258269
416,Chiredzi,-21.05,31.6667,71.44,92,100,6.4,ZW,1702258269
417,San Carlos,9.6612,-68.5827,77.29,72,53,2.35,VE,1702258269
418,Gao,16.6362,1.637,65.98,20,100,18.07,ML,1702258270
419,La Passe,45.5549,-0.8967,61.03,83,100,24.79,FR,1702258270
420,Borogontsy,62.6683,131.1683,-23.44,94,100,7.29,RU,1702258270
421,Igarka,67.4667,86.5833,-21.26,98,100,6.04,RU,1702258270
422,Altay,47.8667,88.1167,5.92,67,100,6.87,CN,1702258088
423,Gereida,11.2811,25.1414,73.67,18,100,7.31,SD,1702258271
424,Mount Pearl,47.5166,-52.7813,29.32,91,0,8.05,CA,1702258159
425,Manaure,11.7751,-72.4445,81.03,75,6,19.48,CO,1702258271
426,Ciudad Madero,22.2667,-97.8333,65.05,45,100,12.28,MX,1702258272
427,Villanueva,15.3167,-88.0,78.04,89,20,4.61,HN,1702258272
428,Aasiaat,68.7098,-52.8699,26.17,89,100,12.97,GL,1702258272
429,Keuruu,62.2667,24.7,15.98,97,93,4.5,FI,1702258135
430,Namdrik,5.5994,168.1028,82.24,81,15,13.15,MH,1702258273
431,Levice,48.2156,18.6071,36.5,100,100,5.44,SK,1702258254
432,Naze,28.3667,129.4833,74.32,82,44,15.59,JP,1702258273
433,Papao,-17.75,-149.55,87.48,83,41,27.72,PF,1702257974
434,Sanibel,26.449,-82.0223,69.06,94,100,1.01,US,1702258002
435,Cadale,2.7603,46.3222,80.04,80,33,11.74,SO,1702258274
436,Praia da Vitória,38.7333,-27.0667,63.75,77,20,13.47,PT,1702258274
437,Bolgar,54.95,49.0667,-9.71,91,50,6.04,RU,1702258274
438,Caceres,39.522,-6.3748,50.52,95,0,2.55,ES,1702258274
439,Santa Rita,-7.1139,-34.9781,79.47,83,40,3.44,BR,1702258274
440,Bambanglipuro,-7.95,110.2833,83.3,66,98,7.56,ID,1702258275
441,Pelaya,8.6882,-73.6645,80.22,75,100,3.0,CO,1702258275
442,Paita,-5.0892,-81.1144,70.61,79,3,14.52,PE,1702258275
443,Hobyo,5.3505,48.5268,80.37,75,95,19.22,SO,1702258275
444,Boali,4.8005,18.1275,74.89,48,100,1.92,CF,1702258276
445,Fortuna,40.5982,-124.1573,55.98,83,100,0.0,US,1702258276
446,Kidal,18.4411,1.4078,64.62,19,17,15.84,ML,1702258276
447,Lebu,-37.6167,-73.65,55.09,87,100,16.91,CL,1702258276
448,Lata,40.1629,-8.3327,59.07,92,67,4.29,PT,1702258277
449,New Norfolk,-42.7826,147.0587,72.72,23,13,3.2,AU,1702258277
450,Hutchinson,38.0608,-97.9298,38.03,59,0,9.22,US,1702258038
451,Tocopilla,-22.092,-70.1979,67.6,65,3,2.64,CL,1702258277
452,Kudahuvadhoo,2.6708,72.8944,82.87,74,95,7.99,MV,1702258278
453,Chayan,43.0297,69.3772,27.21,73,100,5.86,KZ,1702258278
454,Kearney,40.6995,-99.0815,34.36,52,0,4.61,US,1702258278
455,Broken Hill,-31.95,141.4333,94.08,24,99,18.39,AU,1702258277
456,Krasnomayskiy,57.6194,34.4099,15.06,94,100,7.65,RU,1702258279
457,Galliano,29.4422,-90.2992,55.4,62,0,8.21,US,1702258279
458,Banfora,10.6333,-4.7667,73.42,14,80,5.1,BF,1702258279
459,Dwārka,22.2394,68.9678,71.55,49,5,5.97,IN,1702258280
460,Proletariy,58.4342,31.7046,14.13,94,100,7.02,RU,1702258280
461,Ina,35.8276,137.9538,46.74,53,12,1.57,JP,1702258281
462,Gualaceo,-2.9,-78.7833,64.06,97,98,3.33,EC,1702258281
463,Bahía de Kino,28.8333,-111.9333,65.71,53,0,16.22,MX,1702258281
464,São Vicente,-23.9631,-46.3919,74.26,26,100,3.49,BR,1702258281
465,Msanga,-6.05,36.0333,67.98,90,61,5.7,TZ,1702258282
466,Xilin Hot,43.9667,116.0333,2.46,78,100,7.54,CN,1702258036
467,Brzeszcze,49.982,19.1516,39.34,93,98,6.38,PL,1702258282
468,Kruisfontein,-34.0033,24.7314,56.88,92,0,3.83,ZA,1702258282
469,Lubang,13.8584,120.124,81.39,79,36,17.74,PH,1702258283
470,Třeboň,49.0036,14.7707,42.62,81,100,7.38,CZ,1702258283
471,Shūshtar,32.0455,48.8567,65.68,44,100,3.69,IR,1702258283
472,Ekibastuz,51.6667,75.3667,-10.73,98,99,6.31,KZ,1702258284
473,Kailua-Kona,19.6406,-155.9956,82.36,79,40,5.75,US,1702258087
474,Zeya,53.75,127.2667,-14.51,76,3,5.97,RU,1702258284
475,Pechora,65.1472,57.2244,-21.14,100,100,1.99,RU,1702258285
476,Ingeniero Guillermo N. Juárez,-23.9,-61.85,71.64,60,32,4.5,AR,1702258285
477,Ryōtsu-minato,38.0833,138.4333,46.31,65,78,11.56,JP,1702258285
478,Geraldton,-28.7667,114.6,86.41,12,0,25.32,AU,1702258286
479,Iquitos,-3.7481,-73.2472,77.04,88,0,2.3,PE,1702258286
480,Bryne,58.7354,5.6477,40.57,63,100,2.3,NO,1702258286
481,Harar,9.3094,42.1258,54.93,51,5,4.5,ET,1702258286
482,Koné,-21.0595,164.8658,87.69,40,100,6.15,NC,1702258287
483,Panitian,9.0965,118.0864,84.09,71,95,7.02,PH,1702258287
484,East Ballina,-28.8667,153.5833,82.8,57,45,9.6,AU,1702258287
485,Elverum,60.8819,11.5623,22.33,97,100,3.96,NO,1702258288
486,Brisas de Zicatela,15.8369,-97.0419,81.12,61,0,3.44,MX,1702258209
487,Andújar,38.0392,-4.0508,60.57,84,0,2.24,ES,1702258288
488,Mandalgovi,45.7625,106.2708,3.27,93,100,6.62,MN,1702258289
489,Queenstown,-31.8976,26.8753,52.41,91,100,2.3,ZA,1702258289
490,Roquetas de Mar,36.7642,-2.6148,53.6,63,4,6.22,ES,1702258289
491,Kenora,49.8167,-94.4337,20.37,93,100,6.91,CA,1702258290
492,Sanctuary Point,-35.1114,150.629,80.98,64,94,8.01,AU,1702258290
493,Yung Shue Wan,22.2333,114.1167,76.75,85,64,1.99,HK,1702258290
494,Ankazoabo,-22.2833,44.5167,75.25,72,21,5.14,MG,1702258291
495,Nadym,65.5333,72.5167,-24.38,93,89,9.35,RU,1702258291
496,Coquimbo,-29.9533,-71.3436,60.53,77,0,3.44,CL,1702258291
497,Leamington,42.0549,-82.6062,38.88,76,96,5.99,CA,1702258292
498,Dongola,19.1667,30.4833,68.0,22,86,7.38,SD,1702258292
499,Xinpu,34.5997,119.1594,34.05,96,100,12.53,CN,1702258292
500,Truth or Consequences,33.1284,-107.2528,46.63,19,0,3.44,US,1702258293
501,Ruteng,-8.6136,120.4721,75.25,69,93,3.49,ID,1702258293
502,Saint-François,46.4154,3.9054,58.44,84,100,9.22,FR,1702258293
503,Hasaki,35.7333,140.8333,63.28,65,83,2.48,JP,1702258209
504,Dunedin,-45.8742,170.5036,62.51,58,33,7.45,NZ,1702258294
505,Nyurba,63.2842,118.3319,-19.61,98,100,5.73,RU,1702258009
506,Belmonte,-15.8631,-38.8828,76.3,86,0,6.17,BR,1702258294
507,Tinogasta,-28.0632,-67.5649,74.46,52,28,2.13,AR,1702258294
508,Levuka,50.1834,-105.4011,22.82,76,12,6.93,CA,1702258295
509,Sinabang,2.4803,96.3801,79.12,84,100,3.44,ID,1702258295
510,Magadan,59.5667,150.8,27.54,88,100,18.79,RU,1702258295
511,Maceió,-9.6658,-35.7353,74.64,100,0,2.3,BR,1702258296
512,Alma,48.5501,-71.6491,38.41,92,98,4.25,CA,1702258220
513,Isangel,-19.55,169.2667,84.31,58,75,8.05,VU,1702258100
514,Weining,26.85,104.2333,46.54,80,35,1.95,CN,1702258296
515,Reçani,31.2846,-4.2688,57.36,49,0,2.8,MA,1702258297
516,Kolondiéba,11.0882,-6.8926,71.24,16,100,4.61,ML,1702258297
517,Bulle,46.6195,7.0567,48.85,75,100,8.01,CH,1702258297
518,Yilan,24.757,121.753,80.46,67,0,3.74,TW,1702258297
519,Yermentau,51.6214,73.1069,-13.27,91,100,9.6,KZ,1702258298
520,Khanty-Mansiysk,61.0042,69.0019,-41.69,60,20,2.24,RU,1702258298
521,Kiunga,-6.1219,141.2906,87.08,62,95,2.8,PG,1702258298
522,Rudnichnyy,59.617,52.4703,-17.27,98,100,4.63,RU,1702258299
523,Bandarbeyla,9.4942,50.8122,76.96,73,17,20.94,SO,1702258299
524,Villa Gesell,-37.2639,-56.973,66.06,86,0,10.02,AR,1702258299
525,Craig,40.5153,-107.5464,24.75,86,100,9.22,US,1702258299
526,Kayenta,36.7278,-110.2546,33.21,34,90,1.92,US,1702258300
527,Sorong,-0.8833,131.25,83.7,71,82,4.92,ID,1702258300
528,Saint Augustine Beach,29.8505,-81.2654,69.1,94,75,10.36,US,1702258300
529,Tibro,58.4245,14.1616,33.53,95,100,4.0,SE,1702258301
530,Pangai,-19.8,-174.35,84.31,61,40,8.05,TO,1702258301
531,Esil,51.9556,66.4042,-26.1,97,80,10.18,KZ,1702258301
532,Benalla,-36.55,145.9833,86.86,64,100,8.01,AU,1702258301
533,Rumbek,6.802,29.6912,77.81,31,32,3.04,SS,1702258301
534,Sarangani,5.4033,125.4636,82.38,76,68,12.01,PH,1702258302
535,Kingston,17.997,-76.7936,83.35,76,20,17.27,JM,1702258014
536,Ambovombe,-25.1667,46.0833,74.55,85,65,2.35,MG,1702258302
537,Kizil-Arvat,38.9764,56.2757,52.3,65,100,3.71,TM,1702258302
538,Rome,43.2128,-75.4557,40.95,95,100,4.61,US,1702258214
539,Bodaybo,57.8506,114.1933,-20.87,97,100,0.2,RU,1702258302
540,Douarnenez,48.0954,-4.329,56.21,94,75,6.91,FR,1702258303
541,Kattivākkam,13.2167,80.3167,77.09,76,79,10.45,IN,1702258303
542,Diu,20.7141,70.9822,69.3,53,7,8.52,IN,1702258303
543,Khandyga,62.6667,135.6,-27.83,97,100,1.61,RU,1702258166
544,Mutuáli,-14.8706,37.0044,73.22,78,96,4.63,MZ,1702258303
545,Shache,38.4167,77.2406,28.04,54,92,0.85,CN,1702258304
546,Valdivia,-39.8142,-73.2459,59.09,81,100,1.54,CL,1702258058
547,Gornopravdinsk,60.05,69.9,-24.48,96,7,3.6,RU,1702258304
548,Bat Khela,34.6167,71.9714,48.94,22,73,5.59,PK,1702258304
549,Pader Palwo,2.8006,33.135,70.12,77,95,2.28,UG,1702258304
550,Swan Hill,-35.3378,143.5544,99.95,16,90,16.04,AU,1702258304
551,Al Fqih Ben Çalah,32.5009,-6.6906,63.1,41,40,3.33,MA,1702258304
